Han_Ji,Chu_Im,Freq,Siann,Un, Tiau 
鄬,qui7,,q,ui, 7 
酡,to5,,t,o, 5 
酢,chhok8,,chh,ok, 8 
酣,ham1,,h,am, 1 
酤,koo1,,k,oo, 1 
酥,soo1,,s,oo, 1 
量,liang5,,l,iang, 5 
量,liang7,,l,iang, 7 
釾,qia5,,q,ia, 5 
鈀,pa1,,p,a, 1 
鈅,goat8,,g,oat, 8 
鈇,hu1,,h,u, 1 
鈍,tun1,,t,un, 1 
鈍,tun7,,t,un, 7 
鈎,koo1,0.01 ,k,oo, 1 
鈐,khiam5,0.01 ,kh,iam, 5 
鈔,chau1,,ch,au, 1 
鈕,liu2,,l,iu, 2 
鈞,kin1,,k,in, 1 
開,khai1,,kh,ai, 1 
閎,hong5,,h,ong, 5 
閏,44719,,j,un, 7 
閑,han5,,h,an, 5 
閒,han5,,h,an, 5 
閒,kan1,0.01 ,k,an, 1 
閒,kan3,,k,an, 3 
間,kan1,,k,an, 1 
閔,bin2,,b,in, 2 
陲,sui5,,s,ui, 5 
陽,qiang5,,q,iang, 5 
陾,jiong5,,j,iong, 5 
隄,te1,,t,e, 1 
隅,gi5,,g,i, 5 
隆,liong5,,l,iong, 5 
隈,qoe1,,q,oe, 1 
隊,tui7,,t,ui, 7 
隍,hong5,,h,ong, 5 
階,kai1,,k,ai, 1 
雁,gan7,,g,an, 7 
雄,hiong5,,h,iong, 5 
雅,genn2,,g,enn, 2 
雅俗通,,,,,
集,chhip8,,chh,ip, 8 
雇,koo3,,k,oo, 3 
雯,bun5,,b,un, 5 
雰,hun1,,h,un, 1 
雲,hun5,,h,un, 5 
雲,qin5,,q,in, 5 
項,hang7,,h,ang, 7 
順,sun7,,s,un, 7 
頇,han1,,h,an, 1 
須,si1,,s,i, 1 
飧,sun1,,s,un, 1 
飩,thun3,,th,un, 3 
飪,jim2,,j,im, 2 
飫,qi3,,q,i, 3 
飭,thit4,,th,it, 4 
飯,hoan2,,h,oan, 2 
飯,hoan7,,h,oan, 7 
飲,qim2,,q,im, 2 
馭,gi7,,g,i, 7 
馮,peng5,,p,eng, 5 
馮,pong5,,p,ong, 5 
鳦,qit4,,q,it, 4 
黃,hong5,,h,ong, 5 
黍,si2,,s,i, 2 
黑,hek4,,h,ek, 4 
𠅩,siok8,0.01 ,s,iok, 8 
𠋱,siat4,0.01 ,s,iat, 4 
𠋲,sek4,,s,ek, 4 
𠋴,tam5,0.01 ,t,am, 5 
𠋵,khian3,,kh,ian, 3 
𠋶,beng2,,b,eng, 2 
𠋷,chian3,,ch,ian, 3 
𠋺,so1,,s,o, 1 
𠋻,chhek4,,chh,ek, 4 
𠞁,chek4,0.01 ,ch,ek, 4 
𠞉,lek4,,l,ek, 4 
𠨃,goe7,0.01 ,g,oe, 7 
𠶸,khek4,,kh,ek, 4 
𠶾,ho7,,h,o, 7 
𡍨,too7,,t,oo, 7 
𡙈,po3,0.01 ,p,o, 3 
𡨿,qut4,,q,ut, 4 
𡩄,boan2,,b,oan, 2 
𡹪,kek4,,k,ek, 4 
𡹸,chong1,,ch,ong, 1 
𢁅,sun3,0.01 ,s,un, 3 
𢃲,gek8,,g,ek, 8 
𢉝,qoe3,,q,oe, 3 
𢉟,peng7,,p,eng, 7 
𢔠,chek4,,ch,ek, 4 
𢔤,cheng3,,ch,eng, 3 
𢜤,qai3,0.01 ,q,ai, 3 
𢜲,la7,,l,a, 7 
𢝌,bonn7,,b,onn, 7 
𢯩,chek4,,ch,ek, 4 
𢯫,thoan3,,th,oan, 3 
𢯰,lut8,,l,ut, 8 
𢰍,qan5,,q,an, 5 
𢽝,chham1,,chh,am, 1 
𣇬,khiong3,,kh,iong, 3 
𣥼,te2,,t,e, 2 
𣨙,qoe1,,q,oe, 1 
𣮈,khut8,,kh,ut, 8 
𣸄,tam5,,t,am, 5 
𣸎,hoai3,,h,oai, 3 
𣹇,kho3,,kh,o, 3 
𣹇,khoa3,,kh,oa, 3 
𤶕,thun3,,th,un, 3 
𤿩,khiak4,,kh,iak, 4 
𤿫,thoat4,,th,oat, 4 
𥒳,khong7,,kh,ong, 7 
𥙭,sia7,0.01 ,s,ia, 7 
𥥻,kheng3,0.01 ,kh,eng, 3 
𥩾,phut4,,ph,ut, 4 
𥬫,chun2,,ch,un, 2 
𥬯,kho2,,kh,o, 2 
𥹚,hoan1,,h,oan, 1 
𥹜,kau1,,k,au, 1 
𦊽,bong5,,b,ong, 5 
𦓱,kek4,,k,ek, 4 
𦜆,ham5,,h,am, 5 
𦜇,khut4,,kh,ut, 4 
𦜍,phong3,,ph,ong, 3 
𦜒,ham3,,h,am, 3 
𦨯,hoat8,,h,oat, 8 
𦨴,tong5,,t,ong, 5 
𦰳,bia2,,b,ia, 2 
𦱂,hek8,,h,ek, 8 
𧊗,ji7,0.01 ,j,i, 7 
𧣗,koo1,,k,oo, 1 
𧦞,poo3,,p,oo, 3 
𧰸,gai2,,g,ai, 2 
𧵊,ham3,,h,am, 3 
𧺺,poat8,0.01 ,p,oat, 8 
𧺾,phoan2,,ph,oan, 2 
𧻁,khiu3,,kh,iu, 3 
𧿹,bo2,,b,o, 2 
𨋐,phat4,,ph,at, 4 
𨓱,to5,0.01 ,t,o, 5 
𨓵,song3,0.01 ,s,ong, 3 
𨥓,gun7,,g,un, 7 
𨱥,qai2,,q,ai, 2 
𨱫,kiam5,,k,iam, 5 
𨾚,kui1,,k,ui, 1 
𩈅,han7,,h,an, 7 
𪔂,teng2,0.01 ,t,eng, 2 
㑼,liak8,,l,iak, 8 
㑽,tong5,0.01 ,t,ong, 5 
㑾,qiau5,,q,iau, 5 
㒀,chhe2,,chh,e, 2 
㒀,tek4,,t,ek, 4 
㒁,gi2,0.01 ,g,i, 2 
㓖,pit4,,p,it, 4 
㟵,kong1,0.01 ,k,ong, 1 
㡛,bong5,,b,ong, 5 
㨍,pang1,0.01 ,p,ang, 1 
㪛,thim2,,th,im, 2 
㬄,chan2,,ch,an, 2 
㬉,loan2,0.01 ,l,oan, 2 
㮓,kheng7,,kh,eng, 7 
㮚,lek4,0.01 ,l,ek, 4 
㮣,khai3,0.01 ,kh,ai, 3 
㱪,hun1,0.01 ,h,un, 1 
㴭,biau2,,b,iau, 2 
㽡,pi1,,p,i, 1 
㽣,hek8,,h,ek, 8 
㽤,kiok4,,k,iok, 4 
䄍,chhe7,,chh,e, 7 
䄍,choo3,,ch,oo, 3 
䅔,chhu1,,chh,u, 1 
䇼,qip4,,q,ip, 4 
䋠,poo2,0.01 ,p,oo, 2 
䎹,bun5,0.01 ,b,un, 5 
䐓,jiu5,,j,iu, 5 
䑰,po1,,p,o, 1 
䛗,chhi2,,chh,i, 2 
䝰,ti7,,t,i, 7 
䞨,khui2,,kh,ui, 2 
䟽,soo1,0.01 ,s,oo, 1 
䣴,hi3,0.01 ,h,i, 3 
䪳,qun2,,q,un, 2 
䪴,chhim2,,chh,im, 2 
亂,loan7,,l,oan, 7 
亄,qi3,,q,i, 3 
亶,chhian1,,chh,ian, 1 
亶,than2,,th,an, 2 
傪,cham1,,ch,am, 1 
傫,lui2,,l,ui, 2 
催,chui1,,ch,ui, 1 
傭,chiong1,,ch,iong, 1 
傭,qiong5,,q,iong, 5 
傮,chho1,,chh,o, 1 
傯,chhong2,0.01 ,chh,ong, 2 
傰,peng5,,p,eng, 5 
傱,siong2,,s,iong, 2 
傲,go7,,g,o, 7 
傳,thoan5,,th,oan, 5 
傳,toan7,,t,oan, 7 
傴,qi2,,q,i, 2 
債,chhai3,,chh,ai, 3 
債,chhek4,,chh,ek, 4 
傶,chok4,,ch,ok, 4 
傷,siang1,,s,iang, 1 
傸,chiang2,,ch,iang, 2 
傺,chi3,,ch,i, 3 
傻,se2,,s,e, 2 
傼,han3,,h,an, 3 
傽,chhiang1,,chh,iang, 1 
傾,kheng1,,kh,eng, 1 
傾,kheng2,,kh,eng, 2 
傿,qian3,,q,ian, 3 
僀,te3,,t,e, 3 
僁,siat4,,s,iat, 4 
僂,loo5,,l,oo, 5 
僂,loo7,,l,oo, 7 
僄,phiau3,,ph,iau, 3 
僅,kin7,,k,in, 7 
僆,lian2,,l,ian, 2 
僆,lian7,,l,ian, 7 
僇,liok8,,l,iok, 8 
僈,ban7,,b,an, 7 
僉,chiam1,,ch,iam, 1 
僊,sian1,0.01 ,s,ian, 1 
僋,tham3,,th,am, 3 
凗,chui2,,ch,ui, 2 
剹,lok8,,l,ok, 8 
剻,pheng2,,ph,eng, 2 
剽,phiau2,,ph,iau, 2 
剽,phiau3,,ph,iau, 3 
剿,chhau5,,chh,au, 5 
募,boo7,,b,oo, 7 
勡,phiau1,,ph,iau, 1 
勡,phiau3,,ph,iau, 3 
勢,si3,,s,i, 3 
勣,chhek4,,chh,ek, 4 
勤,khin5,,kh,in, 5 
勦,chau1,,ch,au, 1 
匯,hoe7,,h,oe, 7 
厩,kiu3,,k,iu, 3 
叠,tiap8,0.01 ,t,iap, 8 
嗀,khak8,,kh,ak, 8 
嗃,hok4,,h,ok, 4 
嗄,che3,,ch,e, 3 
嗅,hiu3,,h,iu, 3 
嗇,sek4,,s,ek, 4 
嗈,qiong1,,q,iong, 1 
嗌,qek4,,q,ek, 4 
嗑,qap8,,q,ap, 8 
嗔,thian5,,th,ian, 5 
嗚,qoo1,,q,oo, 1 
嗛,khiam2,,kh,iam, 2 
嗜,si7,,s,i, 7 
嗝,kek4,,k,ek, 4 
嗟,chhia1,,chh,ia, 1 
嗣,su5,,s,u, 5 
嗣,su7,,s,u, 7 
嗤,chi1,,ch,i, 1 
嗥,ho5,,h,o, 5 
園,qoan5,,q,oan, 5 
圓,qoan5,,q,oan, 5 
塉,chhit4,,chh,it, 4 
塊,khoai3,,kh,oai, 3 
塊,thok4,,th,ok, 4 
塋,qeng5,,q,eng, 5 
塌,thap4,,th,ap, 4 
塏,khai2,,kh,ai, 2 
塑,soo3,,s,oo, 3 
塒,si5,,s,i, 5 
塓,bek8,,b,ek, 8 
塔,thap4,,th,ap, 4 
塕,qong3,0.01 ,q,ong, 3 
塗,too5,,t,oo, 5 
塘,tong5,,t,ong, 5 
塚,thiong2,,th,iong, 2 
塞,sai3,,s,ai, 3 
塞,sek4,,s,ek, 4 
塟,chhong3,0.01 ,chh,ong, 3 
塢,qoo2,,q,oo, 2 
塤,hun1,,h,un, 1 
塩,qiam5,0.01 ,q,iam, 5 
填,thian5,,th,ian, 5 
壼,khun2,,kh,un, 2 
夣,bong7,0.01 ,b,ong, 7 
奧,hiok4,,h,iok, 4 
媳,sit4,,s,it, 4 
媵,qin7,,q,in, 7 
媸,chi1,,ch,i, 1 
媺,bi2,0.01 ,b,i, 2 
媻,poan5,,p,oan, 5 
媼,qau2,,q,au, 2 
媽,bann2,,b,ann, 2 
媾,koo1,,k,oo, 1 
媾,koo3,,k,oo, 3 
媿,khui3,0.01 ,kh,ui, 3 
嫁,ke3,,k,e, 3 
嫂,so2,,s,o, 2 
嫄,goan5,,g,oan, 5 
嫉,chhit8,,chh,it, 8 
嫋,hiau1,,h,iau, 1 
嫋,liau2,,l,iau, 2 
嫌,hiam5,,h,iam, 5 
嫐,hiau5,,h,iau, 5 
嫐,lo2,,l,o, 2 
寖,chhim3,,chh,im, 3 
寗,beng7,0.01 ,b,eng, 7 
寘,ti3,,t,i, 3 
寙,ji2,,j,i, 2 
寚,po2,0.01 ,p,o, 2 
尠,sian2,,s,ian, 2 
嵠,khe1,0.01 ,kh,e, 1 
嵡,qong2,,q,ong, 2 
嵤,qeng5,,q,eng, 5 
嵨,qoo2,,q,oo, 2 
嵩,siong1,,s,iong, 1 
嵬,gui5,,g,ui, 5 
嵯,chi1,,ch,i, 1 
嵯,cho1,,ch,o, 1 
幊,kong1,,k,ong, 1 
幌,hong2,,h,ong, 2 
幍,tho1,,th,o, 1 
幎,bek8,,b,ek, 8 
幐,teng5,,t,eng, 5 
幹,kan3,,k,an, 3 
廈,he7,,h,e, 7 
廉,liam5,,l,iam, 5 
廋,soo1,,s,oo, 1 
廌,chhai7,,chh,ai, 7 
弒,si3,,s,i, 3 
彀,koo3,,k,oo, 3 
彙,lui7,,l,ui, 7 
徬,pong5,,p,ong, 5 
徭,qiau5,,q,iau, 5 
微,bi5,,b,i, 5 
徯,he5,,h,e, 5 
想,siang2,,s,iang, 2 
惹,je2,,j,e, 2 
惹,jia2,,j,ia, 2 
愆,khian1,,kh,ian, 1 
愈,ji2,,j,i, 2 
愍,bin2,,b,in, 2 
意,qi3,,q,i, 3 
愚,gi5,,g,i, 5 
愛,qai3,,q,ai, 3 
感,kam2,,k,am, 2 
愧,khui3,,kh,ui, 3 
愪,qun2,,q,un, 2 
愫,soo3,,s,oo, 3 
愲,kut8,,k,ut, 8 
愴,chong2,,ch,ong, 2 
愶,hiap8,,h,iap, 8 
愷,khai2,,kh,ai, 2 
愾,hi3,,h,i, 3 
愾,khai3,,kh,ai, 3 
慃,qang2,,q,ang, 2 
慄,lek4,,l,ek, 4 
慅,so1,,s,o, 1 
慆,tho1,,th,o, 1 
慈,chhu5,,chh,u, 5 
慉,hiok4,,h,iok, 4 
慊,khiam2,,kh,iam, 2 
慊,khiam3,,kh,iam, 3 
慍,qun3,,q,un, 3 
慎,sin7,,s,in, 7 
戡,kham1,,kh,am, 1 
戡,kham3,,kh,am, 3 
戡,tim2,,t,im, 2 
戢,chip4,,ch,ip, 4 
戥,teng2,,t,eng, 2 
搆,koo3,,k,oo, 3 
搇,khim3,,kh,im, 3 
損,sun2,,s,un, 2 
搏,phok4,,ph,ok, 4 
搔,so1,,s,o, 1 
搕,khap4,,kh,ap, 4 
搖,qiau5,,q,iau, 5 
搗,to2,,t,o, 2 
搜,soo1,,s,oo, 1 
搝,khiu2,,kh,iu, 2 
搡,song2,,s,ong, 2 
搢,chhin3,,chh,in, 3 
搤,qek4,,q,ek, 4 
搥,tui5,,t,ui, 5 
搦,lek8,,l,ek, 8 
搧,qiat8,,q,iat, 8 
搧,sian3,,s,ian, 3 
搬,poan1,,p,oan, 1 
搭,tap4,,t,ap, 4 
搲,qoa3,,q,oa, 3 
搵,qun3,,q,un, 3 
搶,chiang2,,ch,iang, 2 
携,he5,0.01 ,h,e, 5 
敬,keng3,,k,eng, 3 
斒,pan1,,p,an, 1 
斟,chhim1,,chh,im, 1 
新,sin1,,s,in, 1 
晸,chheng2,,chh,eng, 2 
暄,soan1,,s,oan, 1 
暇,he7,,h,e, 7 
暈,qun7,,q,un, 7 
暉,hui1,,h,ui, 1 
暌,khui1,,kh,ui, 1 
暍,qai2,,q,ai, 2 
暒,chheng5,,chh,eng, 5 
暖,loan2,,l,oan, 2 
暗,qam3,,q,am, 3 
暘,qiang5,,q,iang, 5 
會,hoe7,,h,oe, 7 
會,koe3,0.10 ,k,oe, 3 
棰,sui5,,s,ui, 5 
椰,qia5,,q,ia, 5 
椲,qui5,,q,ui, 5 
椵,ke2,,k,e, 2 
椶,chhong1,,chh,ong, 1 
椹,chhim1,,chh,im, 1 
椽,qian5,,q,ian, 5 
椽,thoan5,,th,oan, 5 
椿,thun1,,th,un, 1 
楀,qi2,,q,i, 2 
楂,chhe1,,chh,e, 1 
楈,si1,,s,i, 1 
楊,qiang5,,q,iang, 5 
楓,hong1,,h,ong, 1 
楚,choo2,,ch,oo, 2 
楛,hoo7,,h,oo, 7 
楝,lian7,,l,ian, 7 
楞,leng5,,l,eng, 5 
楠,lam5,,l,am, 5 
楣,bi5,,b,i, 5 
楤,chong1,,ch,ong, 1 
楥,hian3,,h,ian, 3 
楦,hian3,0.01 ,h,ian, 3 
楧,qeng1,,q,eng, 1 
楨,chheng1,,chh,eng, 1 
楪,qiap8,,q,iap, 8 
楫,chip4,,ch,ip, 4 
業,giap8,,g,iap, 8 
楯,tun2,0.01 ,t,un, 2 
極,kek8,,k,ek, 8 
楷,khai2,,kh,ai, 2 
楸,chiu1,,ch,iu, 1 
楹,qeng5,,q,eng, 5 
概,khai3,,kh,ai, 3 
榆,ji5,,j,i, 5 
榔,long5,,l,ong, 5 
歂,choan2,,ch,oan, 2 
歃,chap4,,ch,ap, 4 
歆,him1,,h,im, 1 
歇,hiat4,,h,iat, 4 
歈,ji5,,j,i, 5 
歲,soe3,,s,oe, 3 
殛,kek4,,k,ek, 4 
殿,tian7,,t,ian, 7 
毀,hui2,,h,ui, 2 
毁,hui2,0.01 ,h,ui, 2 
毓,qiok8,,q,iok, 8 
毹,ji5,,j,i, 5 
源,goan5,,g,oan, 5 
準,chhun2,,chh,un, 2 
溛,qoa3,,q,oa, 3 
溜,liu2,,l,iu, 2 
溜,liu3,,l,iu, 3 
溞,so1,,s,o, 1 
溟,beng5,,b,eng, 5 
溢,qit8,,q,it, 8 
溣,lun3,,l,un, 3 
溥,phoo2,,ph,oo, 2 
溦,bi5,,b,i, 5 
溦,bui1,,b,ui, 1 
溩,qoo2,,q,oo, 2 
溪,khe1,,kh,e, 1 
溫,qun1,0.01 ,q,un, 1 
溫,qun3,,q,un, 3 
溯,soo2,,s,oo, 2 
溯,soo3,,s,oo, 3 
溱,chhin1,,chh,in, 1 
溲,soo1,,s,oo, 1 
溶,qiong5,,q,iong, 5 
溷,hun7,,h,un, 7 
溺,jiak8,,j,iak, 8 
溺,jiau7,0.01 ,j,iau, 7 
溺,lek8,,l,ek, 8 
溼,sip4,,s,ip, 4 
溽,jiok8,,j,iok, 8 
滁,ti5,,t,i, 5 
滂,pong5,,p,ong, 5 
滅,biat8,,b,iat, 8 
滈,qo1,,q,o, 1 
滑,kut8,,k,ut, 8 
滓,chhai2,,chh,ai, 2 
滔,tho1,,th,o, 1 
煁,sim5,,s,im, 5 
煅,thoan3,,th,oan, 3 
煇,hui1,,h,ui, 1 
煇,hun1,,h,un, 1 
煉,lian7,,l,ian, 7 
煌,hong5,,h,ong, 5 
煎,chhian1,,chh,ian, 1 
煏,pek4,,p,ek, 4 
煒,qui2,,q,ui, 2 
煖,loan2,,l,oan, 2 
煗,loan2,0.01 ,l,oan, 2 
煙,qian1,,q,ian, 1 
煜,qiok8,,q,iok, 8 
煞,sat4,,s,at, 4 
煢,keng5,0.01 ,k,eng, 5 
煣,jiu2,,j,iu, 2 
煤,boe5,,b,oe, 5 
煥,hoan3,,h,oan, 3 
煦,hi2,,h,i, 2 
照,chhiau3,,chh,iau, 3 
煨,qoe1,,q,oe, 1 
煩,hoan5,,h,oan, 5 
煬,qiang5,,q,iang, 5 
煰,kho3,,kh,o, 3 
爺,qia5,,q,ia, 5 
牒,tiap8,,t,iap, 8 
犍,kian1,,k,ian, 1 
献,hian3,0.01 ,h,ian, 3 
猻,sun1,,s,un, 1 
猾,kut8,,k,ut, 8 
猿,qoan5,,q,oan, 5 
獅,su1,,s,u, 1 
瑀,qi2,,q,i, 2 
瑁,poe7,,p,oe, 7 
瑄,soan1,,s,oan, 1 
瑅,the5,,th,e, 5 
瑇,tai7,0.01 ,t,ai, 7 
瑊,chhim1,,chh,im, 1 
瑋,qui2,,q,ui, 2 
瑍,hoan3,,h,oan, 3 
瑒,qiang5,,q,iang, 5 
瑕,he5,,h,e, 5 
瑗,qoan7,,q,oan, 7 
瑙,lo2,,l,o, 2 
瑚,hoo5,,h,oo, 5 
瑛,qeng1,,q,eng, 1 
瑜,ji5,,j,i, 5 
瑝,hong5,,h,ong, 5 
瑞,sui7,,s,ui, 7 
瑟,sek4,,s,ek, 4 
瑯,long5,,l,ong, 5 
甞,siang5,0.01 ,s,iang, 5 
畵,hoa7,0.01 ,h,oa, 7 
當,tong1,,t,ong, 1 
當,tong3,,t,ong, 3 
畸,ki5,,k,i, 5 
畹,qoan2,,q,oan, 2 
畹,qoan5,,q,oan, 5 
痯,koan2,,k,oan, 2 
痰,tham5,,th,am, 5 
痳,bann5,,b,ann, 5 
痳,lim5,,l,im, 5 
痴,chi1,0.01 ,ch,i, 1 
痵,khui3,,kh,ui, 3 
痹,pi3,,p,i, 3 
痻,bin5,,b,in, 5 
痻,hun1,,h,un, 1 
痼,koo3,,k,oo, 3 
痿,qoe1,,q,oe, 1 
瘀,qi3,,q,i, 3 
瘁,chhui7,,chh,ui, 7 
瘂,qe2,0.01 ,q,e, 2 
瘃,chhiok4,,chh,iok, 4 
瘏,too5,,t,oo, 5 
瘐,ji2,,j,i, 2 
皵,chiak4,,ch,iak, 4 
盞,chhan2,,chh,an, 2 
盞,chian2,,ch,ian, 2 
盟,beng5,,b,eng, 5 
睘,keng5,,k,eng, 5 
睚,gai5,,g,ai, 5 
睛,chheng1,,chh,eng, 1 
睜,chheng7,,chh,eng, 7 
睞,lai7,,l,ai, 7 
睟,sui3,,s,ui, 3 
睠,koan3,,k,oan, 3 
睢,chi1,,ch,i, 1 
督,tok4,,t,ok, 4 
睥,phi3,,ph,i, 3 
睦,bok8,,b,ok, 8 
睨,ge2,,g,e, 2 
睫,chhiap4,,chh,iap, 4 
睫,chhiat8,,chh,iat, 8 
睬,chai2,,ch,ai, 2 
睹,too2,,t,oo, 2 
矮,qai2,,q,ai, 2 
硺,tok4,,t,ok, 4 
硿,khong1,,kh,ong, 1 
碁,ki5,0.01 ,k,i, 5 
碌,lok8,,l,ok, 8 
碍,gai7,0.01 ,g,ai, 7 
碎,chui3,,ch,ui, 3 
碏,chiak4,,ch,iak, 4 
碑,pi1,,p,i, 1 
碒,gim5,,g,im, 5 
碓,tui3,,t,ui, 3 
碔,bu2,,b,u, 2 
碕,ki5,,k,i, 5 
碖,lun2,,l,un, 2 
碗,qoan2,,q,oan, 2 
碡,tok8,,t,ok, 8 
祺,ki5,,k,i, 5 
祼,koan3,,k,oan, 3 
祿,lok8,,l,ok, 8 
禀,lim2,0.01 ,l,im, 2 
禀,pin2,0.01 ,p,in, 2 
禁,kim1,,k,im, 1 
禁,kim3,,k,im, 3 
禽,khim5,,kh,im, 5 
稐,lun2,,l,un, 2 
稔,jim2,,j,im, 2 
稗,pai7,,p,ai, 7 
稚,ti7,,t,i, 7 
稜,leng5,,l,eng, 5 
稟,pin2,,p,in, 2 
稠,tiu5,,t,iu, 5 
窞,tam2,,t,am, 2 
窟,khut4,,kh,ut, 4 
窠,kho1,,kh,o, 1 
窢,hek8,,h,ek, 8 
窣,sut4,,s,ut, 4 
竪,si7,0.01 ,s,i, 7 
筠,kin1,,k,in, 1 
筢,pa5,,p,a, 5 
筤,long5,,l,ong, 5 
筥,ki2,,k,i, 2 
筦,koan2,,k,oan, 2 
筧,kian2,,k,ian, 2 
筩,qiong2,,q,iong, 2 
筩,tong5,,t,ong, 5 
筭,soan3,0.01 ,s,oan, 3 
筮,si7,,s,i, 7 
筯,ti7,0.01 ,t,i, 7 
筲,soo1,,s,oo, 1 
筴,kiap4,,k,iap, 4 
節,chhiat4,,chh,iat, 4 
粮,liang5,,l,iang, 5 
粯,hian2,,h,ian, 2 
粱,liang5,,l,iang, 5 
粲,chan3,,ch,an, 3 
粵,qoat8,,q,oat, 8 
絛,tho1,,th,o, 1 
絹,koan3,,k,oan, 3 
絺,thi1,,th,i, 1 
絿,kiu5,,k,iu, 5 
綁,pang2,,p,ang, 2 
綂,thong2,0.01 ,th,ong, 2 
綃,siau1,,s,iau, 1 
綆,keng7,,k,eng, 7 
綉,siu3,0.01 ,s,iu, 3 
綋,hong5,,h,ong, 5 
綌,khek4,,kh,ek, 4 
綍,hut4,,h,ut, 4 
綏,sui1,,s,ui, 1 
綑,khun2,,kh,un, 2 
經,keng1,,k,eng, 1 
罧,sam3,,s,am, 3 
罨,qiam2,,q,iam, 2 
罪,chhoe7,,chh,oe, 7 
罭,hek8,,h,ek, 8 
置,ti3,,t,i, 3 
署,si7,,s,i, 7 
羣,kun5,,k,un, 5 
群,kun5,0.01 ,k,un, 5 
羨,qian7,,q,ian, 7 
羨,soan7,,s,oan, 7 
義,gi7,,g,i, 7 
翛,siau1,,s,iau, 1 
聖,seng3,,s,eng, 3 
聘,pheng3,,ph,eng, 3 
肄,qi7,,q,i, 7 
肆,su3,,s,u, 3 
腄,lui1,,l,ui, 1 
腢,gi5,,g,i, 5 
腤,qam1,,q,am, 1 
腥,seng1,,s,eng, 1 
腦,lo2,,l,o, 2 
腫,chhiong2,,chh,iong, 2 
腮,sai1,,s,ai, 1 
腮,su1,,s,u, 1 
腯,thun2,,th,un, 2 
腯,tun7,,t,un, 7 
腰,qiau1,,q,iau, 1 
腱,kian7,,k,ian, 7 
腱,kin7,,k,in, 7 
腳,kiak4,,k,iak, 4 
腸,chiang5,,ch,iang, 5 
腹,hok4,,h,ok, 4 
舅,kiu7,,k,iu, 7 
舝,hat4,,h,at, 4 
艇,theng2,,th,eng, 2 
菙,sui5,,s,ui, 5 
萬,ban7,,b,an, 7 
萱,soan1,,s,oan, 1 
萵,qo1,,q,o, 1 
萼,gok8,,g,ok, 8 
落,lok8,,l,ok, 8 
葆,po2,,p,o, 2 
葉,qiap8,,q,iap, 8 
葊,qam1,0.01 ,q,am, 1 
葐,phun5,,ph,un, 5 
葑,hong1,,h,ong, 1 
葒,hong5,,h,ong, 5 
葓,hong5,0.01 ,h,ong, 5 
葚,sim5,,s,im, 5 
葛,kat4,,k,at, 4 
葡,poo5,,p,oo, 5 
葢,kai3,0.01 ,k,ai, 3 
董,tong2,,t,ong, 2 
葦,qui2,,q,ui, 2 
葨,qoe1,,q,oe, 1 
葩,pha1,,ph,a, 1 
葬,chhong3,,chh,ong, 3 
葭,he5,,h,e, 5 
葭,ke1,,k,e, 1 
葱,chong1,0.01 ,ch,ong, 1 
葳,qui1,,q,ui, 1 
葵,kui5,,k,ui, 5 
葷,hun1,,h,un, 1 
葸,si2,,s,i, 2 
葺,chip4,,ch,ip, 4 
葽,qiau1,,q,iau, 1 
蒂,te3,,t,e, 3 
蒍,qui2,,q,ui, 2 
虜,loo2,,l,oo, 2 
虞,gi5,,g,i, 5 
號,ho5,,h,o, 5 
號,ho7,,h,o, 7 
蛸,sau1,,s,au, 1 
蛸,siau1,,s,iau, 1 
蛺,kiap4,,k,iap, 4 
蛻,thoe3,,th,oe, 3 
蛾,go5,,g,o, 5 
蜀,siok8,,s,iok, 8 
蜂,hong1,,h,ong, 1 
蜃,qin2,,q,in, 2 
蜃,sin2,,s,in, 2 
蜅,phu2,,ph,u, 2 
蜆,hian2,,h,ian, 2 
蜇,chhiat4,,chh,iat, 4 
蜈,goo5,,g,oo, 5 
蜉,hu5,,h,u, 5 
蜊,li5,,l,i, 5 
蜍,si5,,s,i, 5 
蝍,chhek4,,chh,ek, 4 
衙,ge5,,g,e, 5 
裋,ji7,,j,i, 7 
裍,khun2,,kh,un, 2 
裎,teng5,,t,eng, 5 
裏,li2,,l,i, 2 
裒,poo5,,p,oo, 5 
裔,qi7,,q,i, 7 
裕,ji7,,j,i, 7 
裘,kiu5,,k,iu, 5 
裙,kun5,,k,un, 5 
裛,qip4,,q,ip, 4 
補,poo2,,p,oo, 2 
裝,chhong1,,chh,ong, 1 
裟,se1,,s,e, 1 
裡,li2,0.01 ,l,i, 2 
觟,hoa2,,h,oa, 2 
解,hai7,,h,ai, 7 
解,kai2,,k,ai, 2 
解,kai3,,k,ai, 3 
觥,kong1,,k,ong, 1 
觧,kai2,0.01 ,k,ai, 2 
訾,chu2,,ch,u, 2 
訿,chu2,0.01 ,ch,u, 2 
詡,hi2,,h,i, 2 
詢,sun5,,s,un, 5 
詣,ge2,,g,e, 2 
試,chi3,,ch,i, 3 
試,si3,,s,i, 3 
詧,chat4,,ch,at, 4 
詩,si1,,s,i, 1 
詫,cha3,,ch,a, 3 
詫,che3,,ch,e, 3 
詬,koo3,,k,oo, 3 
詭,goai5,,g,oai, 5 
詭,khui2,,kh,ui, 2 
詮,chhoan7,,chh,oan, 7 
詮,choan1,,ch,oan, 1 
詰,khiat4,,kh,iat, 4 
話,hoa7,,h,oa, 7 
