Han_Ji,Chu_Im,Freq,Siann,Un, Tiau 
可,kho2,,kh,o, 2 
台,qi5,0.10 ,q,i, 5 
台,thai1,,th,ai, 1 
叱,thek4,,th,ek, 4 
史,su2,,s,u, 2 
右,qiu7,,q,iu, 7 
叵,pho2,,ph,o, 2 
叶,hiap8,0.01 ,h,iap, 8 
号,ho7,0.01 ,h,o, 7 
司,su1,,s,u, 1 
囘,hoe5,0.01 ,h,oe, 5 
囙,qin1,0.01 ,q,in, 1 
囚,siu5,,s,iu, 5 
囚,tip4,,t,ip, 4 
四,su3,,s,u, 3 
圣,koai3,,k,oai, 3 
外,goe7,,g,oe, 7 
夘,bau2,0.01 ,b,au, 2 
央,qiang1,,q,iang, 1 
失,sit4,,s,it, 4 
奴,lonn5,,l,onn, 5 
奴,loo5,,l,oo, 5 
奶,lainn2,,l,ainn, 2 
孕,qin7,,q,in, 7 
宁,thi2,,th,i, 2 
宂,jiang2,,j,iang, 2 
宂,jiong2,0.01 ,j,iong, 2 
宄,kui2,,k,ui, 2 
尒,ji2,0.01 ,j,i, 2 
尔,ji2,0.01 ,j,i, 2 
尔,jinn2,0.01 ,j,inn, 2 
尻,khau1,,kh,au, 1 
尼,linn5,,l,inn, 5 
尼,lit4,,l,it, 4 
屴,lek8,,l,ek, 8 
左,chho2,,chh,o, 2 
巧,khau2,,kh,au, 2 
巨,ki7,,k,i, 7 
市,chi7,,ch,i, 7 
布,poo3,,p,oo, 3 
平,peng5,,p,eng, 5 
平,pian5,0.10 ,p,ian, 5 
幼,qiu3,,q,iu, 3 
庀,phi2,,ph,i, 2 
弁,poan5,,p,oan, 5 
弍,ji7,0.01 ,j,i, 7 
弗,hut4,,h,ut, 4 
弘,hong5,,h,ong, 5 
必,pit4,,p,it, 4 
忉,thiau1,,th,iau, 1 
忉,to1,,t,o, 1 
戉,qoat8,,q,oat, 8 
戊,boo7,,b,oo, 7 
戹,qek4,0.01 ,q,ek, 4 
扐,lek8,,l,ek, 8 
扑,phok4,,ph,ok, 4 
扒,poai3,,p,oai, 3 
扒,put4,,p,ut, 4 
打,tann2,,t,ann, 2 
斥,thek4,,th,ek, 4 
斥,thiok4,0.10 ,th,iok, 4 
旦,tan3,,t,an, 3 
未,bi7,,b,i, 7 
末,boat8,,b,oat, 8 
本,pun2,,p,un, 2 
札,chhap4,,chh,ap, 4 
朮,tut8,,t,ut, 8 
正,chheng1,,chh,eng, 1 
正,chheng3,,chh,eng, 3 
母,bo2,,b,o, 2 
母,boo2,,b,oo, 2 
氐,ti2,,t,i, 2 
民,bin5,,b,in, 5 
氷,peng1,,p,eng, 1 
永,qeng2,,q,eng, 2 
氻,lek8,,l,ek, 8 
氾,hoan3,,h,oan, 3 
氿,hoan3,0.01 ,h,oan, 3 
汀,theng1,,th,eng, 1 
汁,chhiap4,,chh,iap, 4 
汃,phat4,,ph,at, 4 
犮,poat8,,p,oat, 8 
犯,hoan7,,h,oan, 7 
玄,hian5,,h,ian, 5 
玉,giok8,,g,iok, 8 
瓜,koa1,,k,oa, 1 
瓦,qoa2,,q,oa, 2 
甘,kam1,,k,am, 1 
生,seng1,,s,eng, 1 
用,qiong7,,q,iong, 7 
田,tian5,,t,ian, 5 
田,tian7,,t,ian, 7 
由,qiu5,,q,iu, 5 
甲,kap4,,k,ap, 4 
申,sin1,,s,in, 1 
疋,phit4,0.01 ,ph,it, 4 
白,pek8,,p,ek, 8 
皮,phi5,,ph,i, 5 
皿,beng2,,b,eng, 2 
目,bok8,,b,ok, 8 
矛,baunn5,,b,aunn, 5 
矢,si2,,s,i, 2 
石,sek8,,s,ek, 8 
示,si7,,s,i, 7 
禸,jiu2,0.01 ,j,iu, 2 
